Rk,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,League,Season,TeamID
42,Juventus,24,11.0,15,148,46,31.1,13.45,4.18,0.09,0.28,16.9,4,2,2,14.5,13.0,0.09,0.5,0.0,Serie A,2021-2022,19371054131726661
43,Köln,22,10.0,15,156,44,28.2,15.6,4.4,0.1,0.34,16.3,2,0,0,14.7,14.7,0.1,0.3,0.3,Bundesliga,2021-2022,39731782814123330
44,Lazio,23,11.0,22,123,54,43.9,11.18,4.91,0.15,0.35,16.4,4,3,4,16.2,13.3,0.11,5.8,5.7,Serie A,2021-2022,90751438076496109
45,Leeds United,23,10.0,10,139,38,27.3,13.9,3.8,0.06,0.24,18.5,1,1,1,13.2,12.5,0.09,-3.2,-3.5,Premier League,2021-2022,34570153325607342
46,Leicester City,22,10.0,15,124,46,37.1,12.4,4.6,0.12,0.33,16.8,3,0,0,15.5,15.5,0.13,-0.5,-0.5,Premier League,2021-2022,18776461863573874
47,Lens,23,12.0,21,173,65,37.6,14.42,5.42,0.1,0.28,17.3,5,3,3,20.9,18.7,0.11,0.1,-0.7,Ligue 1,2021-2022,74951719010833888
48,Levante,26,12.0,11,99,30,30.3,8.25,2.5,0.08,0.27,18.2,3,3,5,13.8,10.3,0.1,-2.8,-2.3,La Liga,2021-2022,1566092639264277
49,Leverkusen,23,10.0,20,121,46,38.0,12.1,4.6,0.16,0.41,17.6,5,1,2,15.4,13.9,0.12,4.6,5.1,Bundesliga,2021-2022,36794408106212849
50,Lille,22,12.0,14,132,44,33.3,11.0,3.67,0.09,0.27,16.6,5,2,2,17.7,16.2,0.13,-3.7,-4.2,Ligue 1,2021-2022,85603837513355486
51,Liverpool,24,10.0,29,198,64,32.3,19.8,6.4,0.14,0.44,15.7,4,1,1,26.3,26.0,0.14,2.7,2.0,Premier League,2021-2022,41956650829873911
52,Lorient,25,12.0,11,111,40,36.0,9.25,3.33,0.08,0.23,18.6,7,2,2,14.1,12.6,0.11,-3.1,-3.6,Ligue 1,2021-2022,37325341301512527
53,Lyon,25,12.0,20,164,66,40.2,13.67,5.5,0.1,0.26,16.9,4,3,3,21.8,19.7,0.12,-1.8,-2.7,Ligue 1,2021-2022,87005642993871754
54,M'Gladbach,22,10.0,12,160,42,26.3,16.0,4.2,0.08,0.29,16.7,6,0,2,18.2,16.7,0.11,-6.2,-4.7,Bundesliga,2021-2022,81611584009946193
55,Mainz 05,26,10.0,14,134,46,34.3,13.4,4.6,0.1,0.3,16.6,4,0,0,15.4,15.4,0.12,-1.4,-1.4,Bundesliga,2021-2022,71158960989778912
56,Mallorca,27,12.0,10,129,43,33.3,10.75,3.58,0.08,0.23,19.0,8,0,0,10.9,10.9,0.09,-0.9,-0.9,La Liga,2021-2022,96459977719332900
57,Manchester City,22,10.0,19,180,55,30.6,18.0,5.5,0.11,0.35,15.6,5,0,0,21.9,21.9,0.12,-2.9,-2.9,Premier League,2021-2022,74026506610392765
58,Manchester Utd,21,10.0,19,159,53,33.3,15.9,5.3,0.12,0.36,17.5,4,0,1,14.9,14.2,0.09,4.1,4.8,Premier League,2021-2022,29078730489839024
59,Marseille,23,12.0,19,154,44,28.6,12.83,3.67,0.12,0.41,16.7,9,1,1,17.6,16.9,0.11,1.4,1.1,Ligue 1,2021-2022,66190039714113630
