Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
5,Aston Villa,28,38.0,761,20.03,548,80,36,27,54,16,67,1.76,45,7,5,4,4,2,Premier League,2019-2020,14348480492050895
6,Atalanta,30,38.0,1143,30.08,856,84,70,60,51,22,157,4.13,113,6,10,13,11,4,Serie A,2019-2020,87465877057901989
7,Athletic Club,26,38.0,585,15.39,384,74,42,26,47,12,57,1.5,38,3,3,5,8,0,La Liga,2019-2020,4823083458145023
8,Atlético Madrid,30,38.0,710,18.68,491,83,39,43,44,10,79,2.08,53,6,8,5,7,0,La Liga,2019-2020,74713976168286555
9,Augsburg,28,34.0,524,15.41,336,60,41,30,43,14,67,1.97,42,3,7,4,8,3,Bundesliga,2019-2020,82828683183786310
10,Barcelona,28,38.0,878,23.11,663,39,78,28,62,8,149,3.92,113,6,12,5,12,1,La Liga,2019-2020,81744823723090567
11,Bayern Munich,29,34.0,1013,29.79,777,70,60,46,35,25,168,4.94,129,7,12,7,9,4,Bundesliga,2019-2020,7510926916741648
12,Betis,27,38.0,773,20.34,575,54,54,30,39,21,78,2.05,54,4,5,6,6,3,La Liga,2019-2020,9423348454032625
13,Bologna,31,38.0,896,23.58,652,63,71,37,53,20,75,1.97,50,4,6,8,7,0,Serie A,2019-2020,23275147453355121
14,Bordeaux,26,28.0,453,16.18,305,46,26,22,37,17,60,2.14,33,7,6,7,5,2,Ligue 1,2019-2020,12683680850395737
15,Bournemouth,27,38.0,567,14.92,393,66,32,29,40,7,57,1.5,32,4,5,9,7,0,Premier League,2019-2020,36088947257895306
16,Brescia,32,38.0,631,16.61,425,76,28,43,52,7,54,1.42,34,8,0,6,5,1,Serie A,2019-2020,24926529561002350
17,Brest,24,28.0,504,18.0,382,45,18,18,21,20,56,2.0,40,5,1,5,1,4,Ligue 1,2019-2020,27328509848090670
18,Brighton,25,38.0,702,18.47,510,69,42,35,32,14,58,1.53,37,8,5,2,5,1,Premier League,2019-2020,49072214318111932
19,Burnley,22,38.0,568,14.95,391,66,26,36,35,14,64,1.68,42,8,3,5,2,4,Premier League,2019-2020,21823480134907726
20,Cagliari,33,38.0,692,18.21,512,59,45,28,33,15,77,2.03,60,3,3,5,3,3,Serie A,2019-2020,32968728316179674
21,Celta Vigo,30,38.0,598,15.74,432,50,38,25,43,10,65,1.71,40,4,7,4,10,0,La Liga,2019-2020,14218303985450920
22,Chelsea,27,38.0,991,26.08,739,86,53,46,54,13,110,2.89,76,6,8,8,10,2,Premier League,2019-2020,58172670324373785
23,Crystal Palace,25,38.0,530,13.95,340,64,51,22,41,12,50,1.32,33,4,5,2,6,0,Premier League,2019-2020,15352059381074619
24,Dijon,28,28.0,507,18.11,339,66,39,26,26,11,39,1.39,29,2,2,6,0,0,Ligue 1,2019-2020,59239312409540653
25,Dortmund,27,34.0,732,21.53,556,58,49,40,23,6,153,4.5,128,5,12,6,1,1,Bundesliga,2019-2020,6921931827204601
26,Düsseldorf,28,34.0,631,18.56,416,70,50,28,49,18,56,1.65,40,6,3,3,4,0,Bundesliga,2019-2020,6414184432322702
27,Eibar,26,38.0,604,15.89,390,78,35,38,44,19,55,1.45,32,4,3,6,8,2,La Liga,2019-2020,67267904110326262
28,Eint Frankfurt,27,34.0,755,22.21,517,84,51,52,39,12,94,2.76,57,15,7,12,2,1,Bundesliga,2019-2020,37929111009288632
