Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
89,Toulouse,25,38.0,10831,15139,71.5,221452,92052,4072,5044,80.7,4582,5767,79.5,1898,3595,52.8,24,28.3,-4.3,301,1127,236,112,1134,Ligue 1,2017-2018,94523000561782573
90,Troyes,25,38.0,11486,15719,73.1,227045,86974,4545,5509,82.5,4696,5836,80.5,1950,3606,54.1,19,24.7,-3.7,266,969,234,81,1120,Ligue 1,2017-2018,57069542099991496
91,Udinese,27,38.0,12619,16647,75.8,257575,94228,4682,5536,84.6,5694,6838,83.3,2113,3824,55.3,27,29.8,-0.8,333,927,265,79,1193,Serie A,2017-2018,48393495896639342
92,Valencia,25,38.0,13770,17463,78.9,276409,96267,5082,6081,83.6,6592,7701,85.6,1975,3340,59.1,45,38.4,6.6,353,1186,318,72,1376,La Liga,2017-2018,65158650443085242
93,Villarreal,32,38.0,14504,18331,79.1,283573,98822,5742,6741,85.2,6539,7727,84.6,2098,3491,60.1,45,38.6,6.4,374,1099,251,74,1233,La Liga,2017-2018,63335634096533483
94,Watford,29,38.0,12739,17186,74.1,251725,95672,5511,6411,86.0,4946,6188,79.9,2038,3871,52.6,27,29.8,-2.8,298,1032,293,82,1186,Premier League,2017-2018,73743918793554398
95,Werder Bremen,25,34.0,12071,16061,75.2,250402,92840,4356,5266,82.7,5416,6565,82.5,2137,3657,58.4,27,30.4,-4.4,318,978,264,89,1250,Bundesliga,2017-2018,59303898890876434
96,West Brom,24,38.0,10478,14714,71.2,220234,91326,4163,4923,84.6,4197,5231,80.2,1915,3958,48.4,24,23.3,0.7,262,924,235,107,972,Premier League,2017-2018,26775906631723373
97,West Ham,27,38.0,11768,15935,73.9,231667,87798,5213,5997,86.9,4409,5433,81.2,1884,3829,49.2,29,25.3,7.7,268,879,230,75,960,Premier League,2017-2018,57680956417459581
98,Wolfsburg,29,34.0,12757,16363,78.0,264609,92068,4560,5336,85.5,5808,6825,85.1,2250,3776,59.6,26,25.2,0.8,245,938,208,66,1097,Bundesliga,2017-2018,85159484018358879
